EvidenceID,Area,RibbonTab,CommandGroup,ToolOrButton,ToolType,DialogName,Shortcut,TransitionTrigger,StateChange,ObservedBehavior,SourceURL,Confidence,BeamLabMappingTarget,Notes
STAAD-GEO-016,Modeling,Geometry,Panel Tools,Wall/Slab Connection,Button,,,Select wall + invoke tool,Boundary relation between wall/slab registered,Defines common boundary interface behavior between wall and slab mesh surfaces,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-017,Modeling,Geometry,Settings,Input Units,Dropdown,, ,User chooses unit set + Apply,Current input units change for geometry entry,Length/force input context switches via geometry tab dropdown,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/store/uiStore.ts,Normalize with BeamLab unit system controls
STAAD-GEO-018,Modeling,Geometry,Node Tools,Move Joint,MenuItem,Move Entities dialog,,Select Move Node > Move Joint,Selected nodes translated by offset,Moves selected joints by specified translational offset,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-019,Modeling,Geometry,Node Tools,Move Origin,MenuItem,Move Origin dialog,,Select Move Node > Move Origin,Global model origin relocated,Shifts model origin while updating geometry positions relative to new origin,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-020,Modeling,Geometry,Node Tools,Merge Selected Nodes,Button,Select Node dialog,,Merge node command on selected nodes,Nodes collapsed to retained node ID,Prompts for kept node then merges other selected nodes to it,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-021,Modeling,Geometry,Node Tools,Renumber Nodes,Button,Renumber dialog,,User invokes renumber on selected nodes,Node IDs renumbered by chosen rule,Supports ascending/descending and sorting criteria for node numbering,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-022,Modeling,Geometry,Beam Tools,Add Beam,MenuItem,,,Choose Add Beam and click endpoints,New analytical member inserted,Adds beam between selected start/end nodes,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-023,Modeling,Geometry,Beam Tools,Add Beam Between Midpoints,MenuItem,,,Invoke midpoint beam tool on two beams,New beam + midpoint nodes generated,Creates connecting beam using new nodes at existing beam midpoints,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-024,Modeling,Geometry,Beam Tools,Add Beam by Perpindicular Intersection,MenuItem,,,Select base node and target beam,Perpendicular member added + intersection node created,Creates beam from existing node perpendicular to existing beam,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,Spelling follows STAAD text
STAAD-GEO-025,Modeling,Geometry,Beam Tools,Add Curve Beam,MenuItem,,,Invoke curved beam command,Curved member geometry created,Defines circular arc beam segment with internal angle limit under 180 degrees,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-026,Modeling,Geometry,Beam Tools,Create Colinear Beams,MenuItem,,,Invoke command with selected colinear nodes,Multiple beams auto-created along straight path,Creates beams across node chain that lies on linear path,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-027,Modeling,Geometry,Beam Tools,Set New Beam Attributes,Button,Define Member Attributes dialog,,Open attribute set tool,Default beam attribute set updated for future additions,Predefines properties/materials/beta/releases for newly added members,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-028,Modeling,Geometry,Beam Tools,Beam Layout,Button,Beams table,,Open Beam Layout,Context switches to beam table view,Opens tabular beam layout for inspection/editing,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/results/ResultsHub.tsx,Map to BeamLab table UX surface
STAAD-GEO-029,Modeling,Geometry,Beam Editing,Insert Node,Button,Insert Nodes into Beam dialog,,Run Insert Node on selected beam,Beam split points inserted at distances,Inserts one or more nodes along member lengths,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-030,Modeling,Geometry,Beam Editing,Stretch Members,Button,Stretch Member(s) dialog,,Invoke stretch command,Beam length modified by chosen method,Extends member length via dialog-driven operations,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-031,Modeling,Geometry,Beam Editing,Connect Beams Along X,MenuItem,,,Select Connect Beams > X,Auto beam generation along X-aligned colinear selected nodes,Detects colinear selected nodes and creates connecting members on X axis,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-032,Modeling,Geometry,Beam Editing,Connect Beams Along Y,MenuItem,,,Select Connect Beams > Y,Auto beam generation along Y-aligned colinear selected nodes,Detects colinear selected nodes and creates connecting members on Y axis,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-033,Modeling,Geometry,Beam Editing,Connect Beams Along Z,MenuItem,,,Select Connect Beams > Z,Auto beam generation along Z-aligned colinear selected nodes,Detects colinear selected nodes and creates connecting members on Z axis,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-034,Modeling,Geometry,Beam Editing,Move Beam,Button,Move Selected Beams dialog,,Invoke move beam tool,Selected beams translated by offset,Moves selected beam entities via dialog offset entry,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-035,Modeling,Geometry,Beam Integrity,Highlight Intersect Beams,MenuItem,,,Invoke intersect scan,Intersecting-but-unconnected beam pairs highlighted,Scans for members crossing in space without node connectivity,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/results/DiagramRenderer.tsx,Candidate for quality diagnostics UX
STAAD-GEO-036,Modeling,Geometry,Beam Integrity,Intersect Selected Beams,MenuItem,,,Run intersect selected beams,Members split + intersection node inserted,Converts geometric intersection into connected topology,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-037,Modeling,Geometry,Beam Integrity,Merge Selected Beams,Button,Merge Selected Beams dialog,,Invoke beam merge on colinear set,Two colinear beams replaced by one,Combines selected colinear members into single beam entity,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-038,Modeling,Geometry,Beam Integrity,Renumber Beams,Button,Renumber dialog,,Invoke renumber beams,Beam IDs reassigned by rule,Renumbers selected members with sort and direction controls,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-039,Modeling,Geometry,Beam Integrity,Break Beams at Selected Nodes,Button,,,Run break operation with selected nodes,Beam segments split at selected on-line nodes,Splits beams where selected nodes lie along beam lines,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-040,Modeling,Geometry,Plate Tools,Add Quad Plate,MenuItem,,,Choose Add Plate > Add Quad Plate,New quadrilateral element created,Creates quadrilateral plate from node click sequence,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-041,Modeling,Geometry,Plate Tools,Add Triangle Plate,MenuItem,,,Choose Add Plate > Add Triangle Plate,New triangular element created,Creates triangular plate from node click sequence,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-042,Modeling,Geometry,Plate Tools,Create Infill Plates,Button,,,Run infill on beam-bounded panel,Closed beam loops filled with plate mesh,Fills beam-bounded planar panels with generated plates for slab modeling,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,Useful for floor slab productivity parity
STAAD-GEO-043,Modeling,Geometry,Plate Tools,Set New Plate Attributes,Button,Define Plate Object Property dialog,,Open plate attribute defaults,Future plate creation defaults updated,Defines property/material/releases for new plate objects,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-044,Modeling,Geometry,Plate Tools,Plate Layout,Button,Plates table,,Open plate layout table,Context switches to plate table,Displays plate entities in tabular layout,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-GEO-045,Modeling,Geometry,Meshing,Parametric Models,Button,Parametric Models dialog,,Open parametric mesh modeler,Parametric wall/slab/panel editor opened,Creates/edits wall slab and panel meshes parametrically,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-046,Modeling,Geometry,Meshing,Generate Mesh (Create Mesh),MenuItem,Define Meshing Region dialog,,Choose Generate Mesh > Create Mesh,Node-based surface meshing wizard starts,Creates plate collection from selected node polygon + mesh parameters,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-047,Modeling,Geometry,Meshing,Plate Mesh,MenuItem,Select Meshing Parameters dialog,,Choose Generate Mesh > Plate Mesh,Existing polygon plate subdivided into FE mesh,Meshes existing plate into quad/triangle elements with division control,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-048,Modeling,Geometry,Plate Tools,Move Plate,Button,Move Selected Plates dialog,,Invoke plate move command,Selected plates translated by offset,Moves selected plate entities via translational offset dialog,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-049,Modeling,Geometry,Plate Tools,Renumber Plates,Button,Renumber dialog,,Invoke renumber plates,Plate IDs reassigned by chosen sequence,Renumbers selected plates with sorting and ascending/descending options,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-050,Modeling,Geometry,Solid Tools,Add n Noded Solid,MenuItem,,,Choose Add Solid and node count,4-8 node solid entity created,Adds solid with selected node-count variant for volumetric modeling,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,Expand with Solid Layout/Move/Renumber in next batch
STAAD-SHELL-001,Shell,File Tab,Backstage,File Tab,Tab,Backstage view,,User clicks File tab,Main workspace context switches to Backstage file-ops surface,File tab opens Backstage view for file operations,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_FILE_RIBBON_TAB.html,High,apps/web/src/components/layout/EngineeringRibbon.tsx,
STAAD-SHELL-002,Shell,Quick Access Toolbar,Navigation,Back,Button,,,User clicks QAT Back,Navigates backward in page history,Back button traverses workflow/page navigation history,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-BB7677AA-3CD8-4A2D-BF29-119FB57BD75A.html,High,apps/web/src/store/uiStore.ts,
STAAD-SHELL-003,Shell,Quick Access Toolbar,Navigation,Forward,Button,,,User clicks QAT Forward,Navigates forward in page history,Forward supports history traversal and history drop-down jump,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-BB7677AA-3CD8-4A2D-BF29-119FB57BD75A.html,High,apps/web/src/store/uiStore.ts,
STAAD-SHELL-004,Shell,Quick Access Toolbar,File Ops,Save,Button,,Ctrl+S,User clicks Save or shortcut,Model persisted,Save current model from QAT,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-BB7677AA-3CD8-4A2D-BF29-119FB57BD75A.html,High,apps/web/src/components/layout/EngineeringRibbon.tsx,
STAAD-SHELL-005,Shell,Quick Access Toolbar,File Ops,Open,Button,,Ctrl+O,User clicks Open or shortcut,Start-page open flow activated,Open loads model selection/start-page open tab,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-BB7677AA-3CD8-4A2D-BF29-119FB57BD75A.html,High,apps/web/src/components/layout/EngineeringRibbon.tsx,
STAAD-SHELL-006,Shell,Quick Access Toolbar,Session,Close,Button,,,User clicks Close,Current model closes + returns to start page,Close model from QAT,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-BB7677AA-3CD8-4A2D-BF29-119FB57BD75A.html,High,apps/web/src/components/layout/EngineeringRibbon.tsx,
STAAD-SHELL-007,Shell,Quick Access Toolbar,Editor Integration,Command File,Button,,,User clicks Command File,STAAD editor opens .std input file,Command File may prompt save before opening editor,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-BB7677AA-3CD8-4A2D-BF29-119FB57BD75A.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,Hidden by default in QAT
STAAD-SHELL-008,Shell,Quick Access Toolbar,Editor Integration,Analysis Output,Button,,,User clicks Analysis Output,Output editor window opens,Opens successful analysis/design run output in editor window,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-BB7677AA-3CD8-4A2D-BF29-119FB57BD75A.html,High,apps/web/src/components/results/ResultsHub.tsx,Hidden by default in QAT
STAAD-SHELL-009,Shell,Workflow Panel,Workflow Switching,Analytical Modeling,Workflow,,,User selects workflow,Page control and ribbon context update to analytical set,Workflow organizes major project stage tasks,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-0E9A64F6-3D80-434E-8A0F-0938278474CF.html,High,apps/web/src/components/layout/EngineeringRibbon.tsx,
STAAD-SHELL-010,Shell,Workflow Panel,Workflow Switching,Postprocessing,Workflow,,,User selects Postprocessing workflow,Page control switches to results-centric pages,Postprocessing used for analysis/design result review and report building,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-0E9A64F6-3D80-434E-8A0F-0938278474CF.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-SHELL-011,Shell,Workflow Panel,Workflow Behavior,Physical Modeling,Workflow,,,User launches Physical Modeling,External/alternate application window is opened,Physical modeling workflow opens STAAD.Pro Physical Modeler,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-0E9A64F6-3D80-434E-8A0F-0938278474CF.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-SHELL-012,Shell,Page Control,Analytical Pages,Analytical Page Row,PageStrip,,,Workflow set to Analytical Modeling,Page row shows Geometry→Design sequence,Recommended progression is left-to-right along page row,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-92D4D790-7599-442C-B6E1-19B671EF2DB8.html,High,apps/web/src/components/layout/EngineeringRibbon.tsx,
STAAD-SHELL-013,Shell,Page Control,Postprocessing Pages,Postprocessing Page Row,PageStrip,,,Workflow set to Postprocessing,Page row shows Displacements/Reactions/Beam/Plate/Solid/Dynamics/Reports,Page set switches with workflow and drives associated dialogs,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-92D4D790-7599-442C-B6E1-19B671EF2DB8.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-SHELL-014,Shell,Page Control,Layout Recovery,Restore View,Button,,,User clicks Restore View on page control,Closed page dialogs restored,Restore View re-displays dialogs for active page,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-92D4D790-7599-442C-B6E1-19B671EF2DB8.html,High,apps/web/src/components/layout/RightPropertiesPanel.tsx,
STAAD-SHELL-015,Shell,Data Area,Context Panels,Data Area Panel Stack,Panel,,,User changes workflow or page,Dialogs/tables update in right-side data region,Data area hosts entry/review panels tied to current page context,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-7C43311F-0B35-4EF4-B4F4-D36B9B907345.html,High,apps/web/src/components/layout/RightPropertiesPanel.tsx,
STAAD-SHELL-016,Shell,View Window,Canvas,View Window,Canvas,,,Application focus in view window,Graphical model/results interaction enabled,View window is primary graphical canvas for model and results,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-349C46F4-C0B5-4B6E-8959-EE759E93B054.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-017,Shell,View Window,Context Menu,Right-Click Pop-up Menu,Menu,,,User right-clicks in view window,Context menu opens with selection-dependent items,Right-click menu provides fast access to commonly used tools/utilities,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CCBC920C-CB07-464B-8D59-DB3C4B6AE787.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-018,Shell,View Window,Context Menu,Right-Click View Tools,Menu,,,User Shift+right-clicks in view window,View tools menu opens at pointer,Holding Shift while right-clicking opens view-navigation tools group,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-BCED57E2-8521-453D-9C14-4139326919A6.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-019,Shell,View Window,Quick Commands,Quick Commands Popup,Menu,,,User presses Space with view focus,Quick commands popup appears,Popup is customizable and supports high-frequency select/utility/label commands,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CCD59678-10A6-4CEF-9161-2AFE6C75E743.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-020,Shell,Tool Search,Discovery,Tool Search,SearchField,,,User types partial tool name in search field,Result list of matching tools shown,Hovering result reveals workflow-tab-group location and Show Details gives descriptions,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-65AAA75D-5D66-4275-9BCD-B064E681B031.html,High,apps/web/src/components/layout/EngineeringRibbon.tsx,
STAAD-SHELL-021,Shell,Status Bar,Context Status,Workflow and Tips,StatusField,,,User changes tools/page/workflow,Status text updates with context and next-step hints,Status bar communicates current workflow and action guidance,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-0BC037C5-692D-403F-9F2C-88C7A476E36D.html,High,apps/web/src/components/modeler/StatusBar.tsx,
STAAD-SHELL-022,Shell,Status Bar,Context Status,Active Load + Input Units,StatusField,,,Load case or units context changes,Indicators update in status bar,Status bar shows active load case and current input units,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-0BC037C5-692D-403F-9F2C-88C7A476E36D.html,High,apps/web/src/components/modeler/StatusBar.tsx,
STAAD-SHELL-023,Shell,Keyboard Layer,Global Shortcuts,Run Analysis,Shortcut,,Ctrl+F5,User presses shortcut,Analysis and optional batch design run starts,Global shortcut launches analysis pipeline,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-8E9DAF27-0814-4E8E-94D2-F1204A222EDD.html,High,apps/web/src/components/AnalysisProgressModal.tsx,
STAAD-SHELL-024,Shell,Keyboard Layer,Window/View Shortcuts,Orientation Dialog,Shortcut,Orientation dialog,F4,User presses F4,Orientation dialog opens for precise view control,F4 shortcut binds to orientation control surface,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-8E9DAF27-0814-4E8E-94D2-F1204A222EDD.html,High,apps/web/src/components/ViewportManager.tsx,
